### Matchday 1
Brighton & Hove Albion | Manchester City
Crystal Palace | Tottenham Hotspur
### Matchday 23
Tottenham Hotspur | Sunderland
Brentford | Manchester United
Newcastle United | Brighton & Hove Albion
Hull City | Crystal Palace
Coventry City | Leeds United
AFC Bournemouth | Fulham
Chelsea | Nottingham Forest
Liverpool | Everton
Manchester City | Arsenal
Aston Villa | Ipswich Town
### Matchday 24
Arsenal | Liverpool
Brighton & Hove Albion | Hull City
Sunderland | Aston Villa
Crystal Palace | Coventry City
Ipswich Town | Tottenham Hotspur
Everton | Newcastle United
Fulham | Manchester City
Leeds United | AFC Bournemouth
Manchester United | Chelsea
Nottingham Forest | Brentford
### Matchday 25
Everton | Leeds United
Coventry City | Liverpool
Hull City | Sunderland
Aston Villa | AFC Bournemouth
Crystal Palace | Brentford
Newcastle United | Chelsea
Fulham | Nottingham Forest
Tottenham Hotspur | Manchester City
Manchester United | Brighton & Hove Albion
Ipswich Town | Arsenal
### Matchday 26
Manchester City | Newcastle United
AFC Bournemouth | Crystal Palace
Brentford | Coventry City
Chelsea | Ipswich Town
Liverpool | Hull City
Arsenal | Fulham
Nottingham Forest | Manchester United
Brighton & Hove Albion | Tottenham Hotspur
Sunderland | Everton
Leeds United | Aston Villa
### Matchday 27
Crystal Palace | Sunderland
Manchester United | Arsenal
Ipswich Town | Brighton & Hove Albion
Coventry City | AFC Bournemouth
Everton | Nottingham Forest
Fulham | Leeds United
Aston Villa | Chelsea
Tottenham Hotspur | Liverpool
Newcastle United | Brentford
Hull City | Manchester City
### Matchday 28
Nottingham Forest | Newcastle United
AFC Bournemouth | Tottenham Hotspur
Manchester City | Everton
Arsenal | Crystal Palace
Leeds United | Hull City
Sunderland | Manchester United
Liverpool | Aston Villa
Brighton & Hove Albion | Fulham
Brentford | Ipswich Town
Chelsea | Coventry City
### Matchday 29
Leeds United | Brighton & Hove Albion
Tottenham Hotspur | Nottingham Forest
Crystal Palace | Fulham
Liverpool | Ipswich Town
Coventry City | Manchester City
AFC Bournemouth | Newcastle United
Chelsea | Arsenal
Aston Villa | Hull City
Manchester United | Everton
Sunderland | Brentford
### Matchday 30
Brentford | AFC Bournemouth
Brighton & Hove Albion | Coventry City
Manchester City | Manchester United
Ipswich Town | Crystal Palace
Arsenal | Sunderland
Fulham | Liverpool
Hull City | Chelsea
Nottingham Forest | Aston Villa
Everton | Tottenham Hotspur
Newcastle United | Leeds United
### Matchday 31
Sunderland | Ipswich Town
Leeds United | Nottingham Forest
Manchester United | Hull City
Chelsea | Fulham
Liverpool | Newcastle United
Coventry City | Arsenal
AFC Bournemouth | Manchester City
